
/bin/ar:     file format elf64-x86-64


Disassembly of section .init:

0000000000002000 <.init>:
    2000:	f3 0f 1e fa          	endbr64 
    21e9:	f2 e9 31 fe ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    21ef:	90                   	nop
    21f0:	f3 0f 1e fa          	endbr64 
    21f4:	68 1c 00 00 00       	pushq  $0x1c
    21f9:	f2 e9 21 fe ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    21ff:	90                   	nop
    2200:	f3 0f 1e fa          	endbr64 
    2204:	68 1d 00 00 00       	pushq  $0x1d
    2209:	f2 e9 11 fe ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    220f:	90                   	nop
    2210:	f3 0f 1e fa          	endbr64 
    2214:	68 1e 00 00 00       	pushq  $0x1e
    2219:	f2 e9 01 fe ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    221f:	90                   	nop
    2220:	f3 0f 1e fa          	endbr64 
    2224:	68 1f 00 00 00       	pushq  $0x1f
    2229:	f2 e9 f1 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    222f:	90                   	nop
    2230:	f3 0f 1e fa          	endbr64 
    2234:	68 20 00 00 00       	pushq  $0x20
    2239:	f2 e9 e1 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    223f:	90                   	nop
    2240:	f3 0f 1e fa          	endbr64 
    2244:	68 21 00 00 00       	pushq  $0x21
    2249:	f2 e9 d1 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    224f:	90                   	nop
    2250:	f3 0f 1e fa          	endbr64 
    2254:	68 22 00 00 00       	pushq  $0x22
    2259:	f2 e9 c1 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    225f:	90                   	nop
    2260:	f3 0f 1e fa          	endbr64 
    2264:	68 23 00 00 00       	pushq  $0x23
    2269:	f2 e9 b1 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    226f:	90                   	nop
    2270:	f3 0f 1e fa          	endbr64 
    2274:	68 24 00 00 00       	pushq  $0x24
    2279:	f2 e9 a1 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    227f:	90                   	nop
    2280:	f3 0f 1e fa          	endbr64 
    2284:	68 25 00 00 00       	pushq  $0x25
    2289:	f2 e9 91 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    228f:	90                   	nop
    2290:	f3 0f 1e fa          	endbr64 
    2294:	68 26 00 00 00       	pushq  $0x26
    2299:	f2 e9 81 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    229f:	90                   	nop
    22a0:	f3 0f 1e fa          	endbr64 
    22a4:	68 27 00 00 00       	pushq  $0x27
    22a9:	f2 e9 71 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    22af:	90                   	nop
    22b0:	f3 0f 1e fa          	endbr64 
    22b4:	68 28 00 00 00       	pushq  $0x28
    22b9:	f2 e9 61 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    22bf:	90                   	nop
    22c0:	f3 0f 1e fa          	endbr64 
    22c4:	68 29 00 00 00       	pushq  $0x29
    22c9:	f2 e9 51 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    22cf:	90                   	nop
    22d0:	f3 0f 1e fa          	endbr64 
    22d4:	68 2a 00 00 00       	pushq  $0x2a
    22d9:	f2 e9 41 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    22df:	90                   	nop
    22e0:	f3 0f 1e fa          	endbr64 
    22e4:	68 2b 00 00 00       	pushq  $0x2b
    22e9:	f2 e9 31 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    22ef:	90                   	nop
    22f0:	f3 0f 1e fa          	endbr64 
    22f4:	68 2c 00 00 00       	pushq  $0x2c
    22f9:	f2 e9 21 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    22ff:	90                   	nop
    2300:	f3 0f 1e fa          	endbr64 
    2304:	68 2d 00 00 00       	pushq  $0x2d
    2309:	f2 e9 11 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    230f:	90                   	nop
    2310:	f3 0f 1e fa          	endbr64 
    2314:	68 2e 00 00 00       	pushq  $0x2e
    2319:	f2 e9 01 fd ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    231f:	90                   	nop
    2320:	f3 0f 1e fa          	endbr64 
    2324:	68 2f 00 00 00       	pushq  $0x2f
    2329:	f2 e9 f1 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    232f:	90                   	nop
    2330:	f3 0f 1e fa          	endbr64 
    2334:	68 30 00 00 00       	pushq  $0x30
    2339:	f2 e9 e1 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    233f:	90                   	nop
    2340:	f3 0f 1e fa          	endbr64 
    2344:	68 31 00 00 00       	pushq  $0x31
    2349:	f2 e9 d1 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    234f:	90                   	nop
    2350:	f3 0f 1e fa          	endbr64 
    2354:	68 32 00 00 00       	pushq  $0x32
    2359:	f2 e9 c1 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    235f:	90                   	nop
    2360:	f3 0f 1e fa          	endbr64 
    2364:	68 33 00 00 00       	pushq  $0x33
    2369:	f2 e9 b1 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    236f:	90                   	nop
    2370:	f3 0f 1e fa          	endbr64 
    2374:	68 34 00 00 00       	pushq  $0x34
    2379:	f2 e9 a1 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    237f:	90                   	nop
    2380:	f3 0f 1e fa          	endbr64 
    2384:	68 35 00 00 00       	pushq  $0x35
    2389:	f2 e9 91 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    238f:	90                   	nop
    2390:	f3 0f 1e fa          	endbr64 
    2394:	68 36 00 00 00       	pushq  $0x36
    2399:	f2 e9 81 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    239f:	90                   	nop
    23a0:	f3 0f 1e fa          	endbr64 
    23a4:	68 37 00 00 00       	pushq  $0x37
    23a9:	f2 e9 71 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    23af:	90                   	nop
    23b0:	f3 0f 1e fa          	endbr64 
    23b4:	68 38 00 00 00       	pushq  $0x38
    23b9:	f2 e9 61 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    23bf:	90                   	nop
    23c0:	f3 0f 1e fa          	endbr64 
    23c4:	68 39 00 00 00       	pushq  $0x39
    23c9:	f2 e9 51 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    23cf:	90                   	nop
    23d0:	f3 0f 1e fa          	endbr64 
    23d4:	68 3a 00 00 00       	pushq  $0x3a
    23d9:	f2 e9 41 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    23df:	90                   	nop
    23e0:	f3 0f 1e fa          	endbr64 
    23e4:	68 3b 00 00 00       	pushq  $0x3b
    23e9:	f2 e9 31 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    23ef:	90                   	nop
    23f0:	f3 0f 1e fa          	endbr64 
    23f4:	68 3c 00 00 00       	pushq  $0x3c
    23f9:	f2 e9 21 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    23ff:	90                   	nop
    2400:	f3 0f 1e fa          	endbr64 
    2404:	68 3d 00 00 00       	pushq  $0x3d
    2409:	f2 e9 11 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    240f:	90                   	nop
    2410:	f3 0f 1e fa          	endbr64 
    2414:	68 3e 00 00 00       	pushq  $0x3e
    2419:	f2 e9 01 fc ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    241f:	90                   	nop
    2420:	f3 0f 1e fa          	endbr64 
    2424:	68 3f 00 00 00       	pushq  $0x3f
    2429:	f2 e9 f1 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    242f:	90                   	nop
    2430:	f3 0f 1e fa          	endbr64 
    2434:	68 40 00 00 00       	pushq  $0x40
    2439:	f2 e9 e1 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    243f:	90                   	nop
    2440:	f3 0f 1e fa          	endbr64 
    2444:	68 41 00 00 00       	pushq  $0x41
    2449:	f2 e9 d1 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    244f:	90                   	nop
    2450:	f3 0f 1e fa          	endbr64 
    2454:	68 42 00 00 00       	pushq  $0x42
    2459:	f2 e9 c1 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    245f:	90                   	nop
    2460:	f3 0f 1e fa          	endbr64 
    2464:	68 43 00 00 00       	pushq  $0x43
    2469:	f2 e9 b1 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    246f:	90                   	nop
    2470:	f3 0f 1e fa          	endbr64 
    2474:	68 44 00 00 00       	pushq  $0x44
    2479:	f2 e9 a1 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    247f:	90                   	nop
    2480:	f3 0f 1e fa          	endbr64 
    2484:	68 45 00 00 00       	pushq  $0x45
    2489:	f2 e9 91 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    248f:	90                   	nop
    2490:	f3 0f 1e fa          	endbr64 
    2494:	68 46 00 00 00       	pushq  $0x46
    2499:	f2 e9 81 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    249f:	90                   	nop
    24a0:	f3 0f 1e fa          	endbr64 
    24a4:	68 47 00 00 00       	pushq  $0x47
    24a9:	f2 e9 71 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    24af:	90                   	nop
    24b0:	f3 0f 1e fa          	endbr64 
    24b4:	68 48 00 00 00       	pushq  $0x48
    24b9:	f2 e9 61 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    24bf:	90                   	nop
    24c0:	f3 0f 1e fa          	endbr64 
    24c4:	68 49 00 00 00       	pushq  $0x49
    24c9:	f2 e9 51 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    24cf:	90                   	nop
    24d0:	f3 0f 1e fa          	endbr64 
    24d4:	68 4a 00 00 00       	pushq  $0x4a
    24d9:	f2 e9 41 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    24df:	90                   	nop
    24e0:	f3 0f 1e fa          	endbr64 
    24e4:	68 4b 00 00 00       	pushq  $0x4b
    24e9:	f2 e9 31 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    24ef:	90                   	nop
    24f0:	f3 0f 1e fa          	endbr64 
    24f4:	68 4c 00 00 00       	pushq  $0x4c
    24f9:	f2 e9 21 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    24ff:	90                   	nop
    2500:	f3 0f 1e fa          	endbr64 
    2504:	68 4d 00 00 00       	pushq  $0x4d
    2509:	f2 e9 11 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    250f:	90                   	nop
    2510:	f3 0f 1e fa          	endbr64 
    2514:	68 4e 00 00 00       	pushq  $0x4e
    2519:	f2 e9 01 fb ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    251f:	90                   	nop
    2520:	f3 0f 1e fa          	endbr64 
    2524:	68 4f 00 00 00       	pushq  $0x4f
    2529:	f2 e9 f1 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    252f:	90                   	nop
    2530:	f3 0f 1e fa          	endbr64 
    2534:	68 50 00 00 00       	pushq  $0x50
    2539:	f2 e9 e1 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    253f:	90                   	nop
    2540:	f3 0f 1e fa          	endbr64 
    2544:	68 51 00 00 00       	pushq  $0x51
    2549:	f2 e9 d1 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    254f:	90                   	nop
    2550:	f3 0f 1e fa          	endbr64 
    2554:	68 52 00 00 00       	pushq  $0x52
    2559:	f2 e9 c1 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    255f:	90                   	nop
    2560:	f3 0f 1e fa          	endbr64 
    2564:	68 53 00 00 00       	pushq  $0x53
    2569:	f2 e9 b1 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    256f:	90                   	nop
    2570:	f3 0f 1e fa          	endbr64 
    2574:	68 54 00 00 00       	pushq  $0x54
    2579:	f2 e9 a1 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    257f:	90                   	nop
    2580:	f3 0f 1e fa          	endbr64 
    2584:	68 55 00 00 00       	pushq  $0x55
    2589:	f2 e9 91 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    258f:	90                   	nop
    2590:	f3 0f 1e fa          	endbr64 
    2594:	68 56 00 00 00       	pushq  $0x56
    2599:	f2 e9 81 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    259f:	90                   	nop
    25a0:	f3 0f 1e fa          	endbr64 
    25a4:	68 57 00 00 00       	pushq  $0x57
    25a9:	f2 e9 71 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    25af:	90                   	nop
    25b0:	f3 0f 1e fa          	endbr64 
    25b4:	68 58 00 00 00       	pushq  $0x58
    25b9:	f2 e9 61 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    25bf:	90                   	nop
    25c0:	f3 0f 1e fa          	endbr64 
    25c4:	68 59 00 00 00       	pushq  $0x59
    25c9:	f2 e9 51 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    25cf:	90                   	nop
    25d0:	f3 0f 1e fa          	endbr64 
    25d4:	68 5a 00 00 00       	pushq  $0x5a
    25d9:	f2 e9 41 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    25df:	90                   	nop
    25e0:	f3 0f 1e fa          	endbr64 
    25e4:	68 5b 00 00 00       	pushq  $0x5b
    25e9:	f2 e9 31 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    25ef:	90                   	nop
    25f0:	f3 0f 1e fa          	endbr64 
    25f4:	68 5c 00 00 00       	pushq  $0x5c
    25f9:	f2 e9 21 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    25ff:	90                   	nop
    2600:	f3 0f 1e fa          	endbr64 
    2604:	68 5d 00 00 00       	pushq  $0x5d
    2609:	f2 e9 11 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    260f:	90                   	nop
    2610:	f3 0f 1e fa          	endbr64 
    2614:	68 5e 00 00 00       	pushq  $0x5e
    2619:	f2 e9 01 fa ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    261f:	90                   	nop
    2620:	f3 0f 1e fa          	endbr64 
    2624:	68 5f 00 00 00       	pushq  $0x5f
    2629:	f2 e9 f1 f9 ff ff    	bnd jmpq 2020 <__cxa_finalize@plt-0x610>
    262f:	90                   	nop

Disassembly of section .plt.got:

0000000000002630 <__cxa_finalize@plt>:
    2630:	f3 0f 1e fa          	endbr64 
    2634:	f2 ff 25 b5 e9 00 00 	bnd jmpq *0xe9b5(%rip)        # 10ff0 <bfd_seek@plt+0xe3c0>
    263b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

Disassembly of section .plt.sec:

0000000000002640 <mkstemps@plt>:
    2640:	f3 0f 1e fa          	endbr64 
    2644:	f2 ff 25 75 e6 00 00 	bnd jmpq *0xe675(%rip)        # 10cc0 <bfd_seek@plt+0xe090>
    264b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002650 <getenv@plt>:
    2650:	f3 0f 1e fa          	endbr64 
    2654:	f2 ff 25 6d e6 00 00 	bnd jmpq *0xe66d(%rip)        # 10cc8 <bfd_seek@plt+0xe098>
    265b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002660 <utime@plt>:
    2660:	f3 0f 1e fa          	endbr64 
    2664:	f2 ff 25 65 e6 00 00 	bnd jmpq *0xe665(%rip)        # 10cd0 <bfd_seek@plt+0xe0a0>
    266b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002670 <free@plt>:
    2670:	f3 0f 1e fa          	endbr64 
    2674:	f2 ff 25 5d e6 00 00 	bnd jmpq *0xe65d(%rip)        # 10cd8 <bfd_seek@plt+0xe0a8>
    267b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002680 <bfd_scan_vma@plt>:
    2680:	f3 0f 1e fa          	endbr64 
    2684:	f2 ff 25 55 e6 00 00 	bnd jmpq *0xe655(%rip)        # 10ce0 <bfd_seek@plt+0xe0b0>
    268b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002690 <bfd_cache_close@plt>:
    2690:	f3 0f 1e fa          	endbr64 
    2694:	f2 ff 25 4d e6 00 00 	bnd jmpq *0xe64d(%rip)        # 10ce8 <bfd_seek@plt+0xe0b8>
    269b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000026a0 <__vfprintf_chk@plt>:
    26a0:	f3 0f 1e fa          	endbr64 
    26a4:	f2 ff 25 45 e6 00 00 	bnd jmpq *0xe645(%rip)        # 10cf0 <bfd_seek@plt+0xe0c0>
    26ab:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000026b0 <abort@plt>:
    26b0:	f3 0f 1e fa          	endbr64 
    26b4:	f2 ff 25 3d e6 00 00 	bnd jmpq *0xe63d(%rip)        # 10cf8 <bfd_seek@plt+0xe0c8>
    26bb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000026c0 <__errno_location@plt>:
    26c0:	f3 0f 1e fa          	endbr64 
    26c4:	f2 ff 25 35 e6 00 00 	bnd jmpq *0xe635(%rip)        # 10d00 <bfd_seek@plt+0xe0d0>
    26cb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000026d0 <unlink@plt>:
    26d0:	f3 0f 1e fa          	endbr64 
    26d4:	f2 ff 25 2d e6 00 00 	bnd jmpq *0xe62d(%rip)        # 10d08 <bfd_seek@plt+0xe0d8>
    26db:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000026e0 <strcpy@plt>:
    26e0:	f3 0f 1e fa          	endbr64 
    26e4:	f2 ff 25 25 e6 00 00 	bnd jmpq *0xe625(%rip)        # 10d10 <bfd_seek@plt+0xe0e0>
    26eb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000026f0 <bfd_plugin_set_plugin@plt>:
    26f0:	f3 0f 1e fa          	endbr64 
    26f4:	f2 ff 25 1d e6 00 00 	bnd jmpq *0xe61d(%rip)        # 10d18 <bfd_seek@plt+0xe0e8>
    26fb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002700 <ferror@plt>:
    2700:	f3 0f 1e fa          	endbr64 
    2704:	f2 ff 25 15 e6 00 00 	bnd jmpq *0xe615(%rip)        # 10d20 <bfd_seek@plt+0xe0f0>
    270b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002710 <bfd_arch_list@plt>:
    2710:	f3 0f 1e fa          	endbr64 
    2714:	f2 ff 25 0d e6 00 00 	bnd jmpq *0xe60d(%rip)        # 10d28 <bfd_seek@plt+0xe0f8>
    271b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002720 <isatty@plt>:
    2720:	f3 0f 1e fa          	endbr64 
    2724:	f2 ff 25 05 e6 00 00 	bnd jmpq *0xe605(%rip)        # 10d30 <bfd_seek@plt+0xe100>
    272b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002730 <bfd_set_default_target@plt>:
    2730:	f3 0f 1e fa          	endbr64 
    2734:	f2 ff 25 fd e5 00 00 	bnd jmpq *0xe5fd(%rip)        # 10d38 <bfd_seek@plt+0xe108>
    273b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000002740 <fread@plt>:
    2740:	f3 0f 1e fa          	endbr64 
    2744:	f2 ff 25 f5 e5 00 00 	bnd jmpq *0xe5f5(%rip)        # 10d40 <bfd_seek@plt+0xe110>
